"","Accession_number","ED","edge.length","Species","Country","City","Host","Collection_date","lat","lon","sum_extracted_values","extracted_temp","extracted_precip","heterogeneity","Geo_location","num_occurrences","DR"
"15","OP345107.1",0.0255157281502522,0.000207121136141406,"Orthoflavivirus nilense","Russia"," Volgograd","Homo sapiens","2023-04-10T00:00:00Z",48.7081906,44.5153353,55771,0.783612701049538,36.6813777587161,24256.3311688312,"Russia:  Volgograd",25,39.1915133329289
"16","ON813218.1",0.00957161449912438,0.00365200948320114,"Orthoflavivirus nilense","Senegal"," Thille Boubacar region","Culex antennatus","2023-03-20T00:00:00Z",16.518221,-15.089955,6590,0.400800916883681,-110.136595749827,11908.5906735751,"Senegal:  Thille Boubacar region",2,104.475582472683
"17","ON813219.1",0.00957161449912438,0.00365200948320114,"Orthoflavivirus nilense","Senegal"," Barkedji region","Aedes vexans","2023-03-20T00:00:00Z",16.467784,-14.1861373,5330,0.994034671031677,-110.788583704055,12585.5355450237,"Senegal:  Barkedji region",8,104.475582472683
"18","JX041631.1",0.017403156115502,0.361337278185452,"Orthoflavivirus nilense","Ukraine"," Lviv region","Aves","2012-07-31T00:00:00Z",49.8397526,24.0436699,54066,0.994034671031677,126.845883824703,29052.5917721519,"Ukraine:  Lviv region",1,57.4608417785348
"19","ON813233.1",0.0111871438389508,0.0116917070902339,"Orthoflavivirus nilense","Italy"," Piemonte region","Accipiter gentilis","2023-03-20T00:00:00Z",37.7938015,12.4343692,22270,1.31137943267822,25.3969429016113,32620.0277777778,"Italy:  Piemonte region",4,89.3883205933453
"20","KY523178.1",0.0108958446163735,0.0863267773366422,"Orthoflavivirus nilense","Uganda"," Queen Elizabeth National Park","Culex neavei","2017-08-31T00:00:00Z",-0.0196719,29.7381821,31698,1.31137943267822,-339.847099356816,14313.6532663317,"Uganda:  Queen Elizabeth National Park",1,91.7781076372241
"21","MW751835.1",0.0066910501003879,0.0874675177586355,"Orthoflavivirus nilense","Serbia"," Subotica","Asio otus","2022-07-23T00:00:00Z",46.1002058,19.6653273,169664,1.29204368591309,100.432063798889,32848.3423728814,"Serbia:  Subotica",3,149.453372041263
"22","OK239658.1",0.00667880227071237,0.0798195445799232,"Orthoflavivirus nilense","Hungary"," Hajduszoboszlo","Homo sapiens","2022-09-17T00:00:00Z",47.4431291,21.3902995,210299,1.29204368591309,113.716581012131,32965.4006622517,"Hungary:  Hajduszoboszlo",2,149.727445051811
"23","OK239667.1",0.00662435607826168,0.00764797317871227,"Orthoflavivirus nilense","Hungary"," Kiskunmajsa","Homo sapiens","2022-09-17T00:00:00Z",46.4906228,19.7393121,174408,0.197912693023681,104.229396234112,33909.4713804714,"Hungary:  Kiskunmajsa",1,150.958068706719
"24","OK239666.1",0.00662435607826168,0.00331854629215481,"Orthoflavivirus nilense","Hungary"," Bekescsaba","Homo sapiens","2022-09-17T00:00:00Z",46.6798003,21.0985425,208791,0.197912693023681,107.201602011734,32572.3523489933,"Hungary:  Bekescsaba",1,150.958068706719
"25","ON032492.1",0.00431096186536245,0.00432942688655746,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Pica pica","2023-02-07T00:00:00Z",42.83333,12.83333,111328,0.678226504060957,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,231.966793312361
"26","OP734239.1",0.00431096186536245,0.00432942688655746,"Orthoflavivirus nilense","Italy"," Emilia Romagna","Corvus cornix","2023-05-09T00:00:00Z",44.525696,11.039437,80091,0.854362311200326,21.4649037996585,37698.1401869159,"Italy:  Emilia Romagna",7,231.966793312361
"27","KF588365.1",0.00423573042247799,0.149461756990373,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-10-28T00:00:00Z",45.07387,11.79109,37,1.02361381710123,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,236.08679029554
"28","ON032488.1",0.00423573042247799,0.0243325381049047,"Orthoflavivirus nilense","Italy"," Piemonte region","Corvus cornix","2023-02-07T00:00:00Z",37.7938015,12.4343692,22270,1.02777491497393,25.3969429016113,32620.0277777778,"Italy:  Piemonte region",4,236.08679029554
"29","ON032497.1",0.0042809537030878,5.47479191734083e-05,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Garrulus glandarius","2023-02-07T00:00:00Z",42.83333,12.83333,111328,0.947689320694217,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,233.59280883573
"30","ON032498.1",0.00699117948860288,0.0242777901857313,"Orthoflavivirus nilense","Italy"," Umbria region","Accipiter gentilis","2023-02-07T00:00:00Z",37.5045761,15.0568253,45081,0.947689320694217,31.6847138503502,33303.7301587302,"Italy:  Umbria region",1,143.037380406298
"31","MW751842.1",0.00454330557387318,0.00305061874908916,"Orthoflavivirus nilense","Serbia"," Subotica","Culex pipiens","2022-07-23T00:00:00Z",46.1002058,19.6653273,169664,0.998005606677081,100.432063798889,32848.3423728814,"Serbia:  Subotica",3,220.104059421101
"32","OK129330.1",0.00454330557387318,1.4344042893244e-05,"Orthoflavivirus nilense","Hungary"," Kisujszallas","Homo sapiens","2022-11-01T00:00:00Z",47.2162053,20.7546669,210927,1.00274396015599,110.791543922366,33698.610738255,"Hungary:  Kisujszallas",1,220.104059421101
"33","OK239661.1",0.00559639576255352,0.00510441242675817,"Orthoflavivirus nilense","Hungary"," Oroshaza","Homo sapiens","2022-09-17T00:00:00Z",46.5603339,20.6693477,193549,1.00274396015599,105.413903504842,32943.4511784512,"Hungary:  Oroshaza",1,178.686433631299
"34","MW751843.1",0.00542054012243181,0.0156871659716053,"Orthoflavivirus nilense","Serbia"," Karavukovo","Culex pipiens","2022-07-23T00:00:00Z",45.4976668,19.1960432,168113,0.991587537613732,103.229362670314,31061.0446735395,"Serbia:  Karavukovo",1,184.483460580193
"35","ON032489.1",0.00542054012243181,0.000421248995385385,"Orthoflavivirus nilense","Italy"," Piemonte region","Accipiter gentilis","2023-02-07T00:00:00Z",37.7938015,12.4343692,22270,0.981201931640404,25.3969429016113,32620.0277777778,"Italy:  Piemonte region",4,184.483460580193
"36","OK239670.1",0.00545402503668449,0.000421248995385385,"Orthoflavivirus nilense","Hungary"," Hajduszoboszlo","Homo sapiens","2022-09-17T00:00:00Z",47.4431291,21.3902995,210299,0.89834840631448,113.716581012131,32965.4006622517,"Hungary:  Hajduszoboszlo",2,183.350826824935
"37","OK239672.1",0.00560765617886072,1.21571518233929e-05,"Orthoflavivirus nilense","Hungary"," Tiszaluc","Homo sapiens","2022-09-17T00:00:00Z",48.0345861,21.0630541,216368,0.857597457451307,123.098240120701,33376.4668874172,"Hungary:  Tiszaluc",1,178.327623538996
"38","MW751838.1",0.00564462473156829,0.0160962578151673,"Orthoflavivirus nilense","Serbia"," Belgrade","Aves","2022-07-23T00:00:00Z",44.8178131,20.4568974,162213,0.849086434863577,92.1697549996695,28531.9545454546,"Serbia:  Belgrade",1,177.15969573803
"39","MK473443.1",0.00551211785071121,0.000354945466580756,"Orthoflavivirus nilense","Greece"," Argolida, Peloponnesus","Pica pica","2020-02-16T00:00:00Z",37.62334,22.41777,178,0.940382832187715,16.5840148925781,22438,"Greece:  Argolida, Peloponnesus",2,181.418472370102
"40","MW751836.1",0.00390423105045038,0.00589667278156933,"Orthoflavivirus nilense","Serbia"," Mali Idjos","Culex pipiens","2022-07-23T00:00:00Z",45.7067012,19.666121,168049,0.903134434516357,99.1370920535605,31624.785467128,"Serbia:  Mali Idjos",1,256.132382299619
"41","MW751840.1",0.00390423105045038,2.88984319597972e-05,"Orthoflavivirus nilense","Serbia"," Novi Sad","Culex pipiens","2022-07-23T00:00:00Z",45.2551338,19.8451756,169138,0.987958416839056,98.3536699539886,30186.4048442907,"Serbia:  Novi Sad",2,256.132382299619
"42","MH549209.1",0.00554862544194984,0.00981574113505746,"Orthoflavivirus nilense","Greece"," Argolida, Peloponnesus","Pica pica","2019-08-17T00:00:00Z",37.62334,22.41777,178,1.09535231395643,16.5840148925781,22438,"Greece:  Argolida, Peloponnesus",2,180.224816121052
"43","OK239663.1",0.00534088785020104,4.93337805909065e-05,"Orthoflavivirus nilense","Hungary"," Nyiregyhaza","Homo sapiens","2022-09-17T00:00:00Z",47.9557802,21.7167982,198047,0.832582152279132,124.575715241609,32523.0231023102,"Hungary:  Nyiregyhaza",1,187.234787182876
"44","ON032490.1",0.00383634408182785,0.000203100348158939,"Orthoflavivirus nilense","Italy"," Piemonte region","Accipiter gentilis","2023-02-07T00:00:00Z",37.7938015,12.4343692,22270,0.984617670225312,25.3969429016113,32620.0277777778,"Italy:  Piemonte region",4,260.664835757783
"45","OP734241.1",0.00346975739395234,4.21142612628527e-05,"Orthoflavivirus nilense","Italy"," Piemonte","Culex pipiens","2023-05-09T00:00:00Z",45.060735,7.923549,175015,1.06454539570147,53.9102220700451,40119.2213438735,"Italy:  Piemonte",2,288.204587946974
"46","OR091158.1",0.00346975739395234,0.00952119274504476,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,1.0526078621064,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,288.204587946974
"47","MW751845.1",0.00559585553362597,0.000633840245236904,"Orthoflavivirus nilense","Serbia"," Opovo","Culex pipiens","2022-07-23T00:00:00Z",45.0487194,20.4331827,164452,1.09504059563058,93.91747847159,29040.6515679442,"Serbia:  Opovo",1,178.703684180357
"48","KF179639.1",0.00566842964383308,0.00477087600107767,"Orthoflavivirus nilense","Greece"," Kavala prefecture","Homo sapiens","2013-10-27T00:00:00Z",40.93959,24.40687,126117,0.896454393210732,7.28980473109624,29636.2307692308,"Greece:  Kavala prefecture",1,176.415702907761
"49","OK129333.1",0.00716686687308915,0.00411647649873018,"Orthoflavivirus nilense","Hungary"," Szentmartonkata","Homo sapiens","2022-11-01T00:00:00Z",47.4440884,19.6916458,180999,0.322155321511722,114.135556750665,35514.3466666667,"Hungary:  Szentmartonkata",1,139.530985814024
"50","ON813230.1",0.00401141725580298,1.8371744513291e-05,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Corvus cornix","2023-03-20T00:00:00Z",42.83333,12.83333,111328,-0.0410461473825295,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,249.288452492291
"51","OR091155.1",0.00336498777920884,0.00409810475421689,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,0.557504739728353,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,297.177899479658
"52","OR091152.1",0.00336498777920884,0.000108892384901384,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,0.557504739728353,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,297.177899479658
"53","OM037673.1",0.00411543874636822,0.00398921236931551,"Orthoflavivirus nilense","Spain"," Tarragona, Catalonia","Accipiter gentilis","2022-04-06T00:00:00Z",41.1172364,1.2546057,442,1.20173193653895,28.4501647949219,29797,"Spain:  Tarragona, Catalonia",2,242.987458113057
"54","ON032491.1",0.0040630441078508,0.00398921236931551,"Orthoflavivirus nilense","Italy"," Lombardi region","Corvus cornix","2023-02-07T00:00:00Z",45.8771936,11.0585248,127359,1.20173193653895,68.6773058302858,41452.2730627306,"Italy:  Lombardi region",1,246.1208821405
"55","OP734240.1",0.0040630441078508,0.00084510672191021,"Orthoflavivirus nilense","Italy"," Piemonte","Culex pipiens","2023-05-09T00:00:00Z",45.060735,7.923549,175015,1.20173193653895,53.9102220700451,40119.2213438735,"Italy:  Piemonte",2,246.1208821405
"56","OK129332.1",0.00728395577330226,1.44231070816833e-05,"Orthoflavivirus nilense","Hungary"," Dunaujvaros","Homo sapiens","2022-11-01T00:00:00Z",46.9669545,18.9393976,167859,1.20173193653895,111.768118232099,35612.5351170569,"Hungary:  Dunaujvaros",2,137.28803841249
"57","ON032493.1",0.00718870675741374,0.00078042254342065,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Accipiter gentilis","2023-02-07T00:00:00Z",42.83333,12.83333,111328,1.20173193653895,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,139.107079165345
"58","OR091153.1",0.00701118229724155,0.000443790431814269,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,1.20173193653895,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,142.629296687013
"59","OM037672.1",0.00701118229724155,0.000573858526143104,"Orthoflavivirus nilense","Spain"," Tarragona, Catalonia","Accipiter gentilis","2022-04-06T00:00:00Z",41.1172364,1.2546057,442,1.20173193653895,28.4501647949219,29797,"Spain:  Tarragona, Catalonia",2,142.629296687013
"60","MH244510.1",0.00572327768149031,0.000187268799835358,"Orthoflavivirus nilense","Slovakia"," Velky Biel","Accipiter gentilis","2018-06-18T00:00:00Z",48.2160906,17.3570154,155590,0.809176469835961,118.581142289814,36758.1770491803,"Slovakia:  Velky Biel",3,174.725053658345
"61","MW751844.1",0.00564057234289337,0.00389319316002825,"Orthoflavivirus nilense","Serbia"," Sombor","Culex pipiens","2022-07-23T00:00:00Z",45.7727397,19.1147036,161316,0.809176469835961,102.843242931291,32074.1061643835,"Serbia:  Sombor",1,177.286973592301
"62","OK129329.1",0.00564057234289337,0.000125546438651969,"Orthoflavivirus nilense","Hungary"," Enying","Homo sapiens","2022-11-01T00:00:00Z",46.9269341,18.2449727,156129,0.809176469835961,115.574243541114,35378.422818792,"Hungary:  Enying",1,177.286973592301
"63","OK239671.1",0.00512767489502279,0.00202374277092237,"Orthoflavivirus nilense","Hungary"," Ujtelek","Homo sapiens","2022-09-17T00:00:00Z",46.5890819,19.058292,158318,0.809176469835961,107.963514014589,34823.2173913044,"Hungary:  Ujtelek",1,195.020164201645
"64","KF823805.1",0.00512767489502279,0.00202374277092237,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2015-01-29T00:00:00Z",45.07387,11.79109,37,0.809176469835961,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,195.020164201645
"65","OK239665.1",0.00514563004961899,0.000139172072400948,"Orthoflavivirus nilense","Hungary"," Debrecen","Homo sapiens","2022-09-17T00:00:00Z",47.531399,21.6259782,201613,0.809176469835961,115.069227062718,32676.2350993377,"Hungary:  Debrecen",1,194.339661102151
"66","OK129336.1",0.00514563004961899,9.04465612196251e-05,"Orthoflavivirus nilense","Hungary"," Tahitotfalu","Homo sapiens","2022-11-01T00:00:00Z",47.75434,19.0844571,192787,0.809176469835961,115.858806850153,36264.6930693069,"Hungary:  Tahitotfalu",1,194.339661102151
"67","OP762595.1",0.00575615155302712,0.00191967057595377,"Orthoflavivirus nilense","Netherlands"," Province of Utrecht, Haarzuilens","Phylloscopus collybita","2023-02-13T00:00:00Z",52.12167,4.99722,154,1.27691285684359,130.464619954427,44130.75,"Netherlands:  Province of Utrecht, Haarzuilens",4,173.72718400267
"68","OK129334.1",0.0038562046782811,0.00191967057595377,"Orthoflavivirus nilense","Hungary"," Tisza","Homo sapiens","2022-11-01T00:00:00Z",47.7795902,21.0399878,221710,1.34854824695181,119.055413531244,33660.4801324503,"Hungary:  Tisza",1,259.322334634413
"69","OK239668.1",0.0038562046782811,0.00201011713717339,"Orthoflavivirus nilense","Hungary"," Jaszbereny","Homo sapiens","2022-09-17T00:00:00Z",47.5030505,19.9117887,189393,1.36520051956176,114.722325156459,35266.1561461794,"Hungary:  Jaszbereny",1,259.322334634413
"70","MH244512.1",0.00482307949257344,0.000179190788627438,"Orthoflavivirus nilense","Slovakia"," Velky Biel","Accipiter gentilis","2018-06-18T00:00:00Z",48.2160906,17.3570154,155590,1.37166488007621,118.581142289814,36758.1770491803,"Slovakia:  Velky Biel",3,207.336412667425
"71","OP762593.1",0.00477591670992,0.000491025644428495,"Orthoflavivirus nilense","Netherlands"," Province of Utrecht, Haarzuilens","Culex pipiens","2023-02-13T00:00:00Z",52.12167,4.99722,154,1.37166488007621,130.464619954427,44130.75,"Netherlands:  Province of Utrecht, Haarzuilens",4,209.38388601353
"72","OK239662.1",0.0046800406274796,0.00537226593654665,"Orthoflavivirus nilense","Hungary"," Kiskunhalas","Homo sapiens","2022-09-17T00:00:00Z",46.4278497,19.4833076,168456,0.652218437194824,104.522550157377,33981.8581081081,"Hungary:  Kiskunhalas",1,213.673358758542
"73","KM203861.1",0.00466729647682596,0.0048957478294594,"Orthoflavivirus nilense","Czech Republic"," South Moravia, Nesyt fishpond at Mikulov","Culex modestus","2014-08-16T00:00:00Z",48.80556,16.6378,175,0.652218437194824,99.6861572265624,41893,"Czech Republic:  South Moravia, Nesyt fishpond at Mikulov",1,214.256798333938
"74","OP762594.1",0.00466729647682596,0.000476518107087247,"Orthoflavivirus nilense","Netherlands"," Province of Utrecht, Haarzuilens","","2023-02-13T00:00:00Z",52.12167,4.99722,154,0.652218437194824,130.464619954427,44130.75,"Netherlands:  Province of Utrecht, Haarzuilens",4,214.256798333938
"75","OK239660.1",0.00529715285343072,0.000476518107087247,"Orthoflavivirus nilense","Hungary"," Budapest","Homo sapiens","2022-09-17T00:00:00Z",47.4978918,19.0401609,182482,0.652218437194824,114.799229939779,36056.0866666667,"Hungary:  Budapest",1,188.780657773986
"76","OR091157.1",0.00485497879231562,0.0014266555687486,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,0.603032682853316,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,205.974123220226
"77","OP734244.1",0.00467137159946401,0.000466730179574187,"Orthoflavivirus nilense","Italy"," Veneto","Passer domesticus","2023-05-09T00:00:00Z",45.6476663,11.8665254,116416,0.842081592110173,68.9111591828906,39779.353909465,"Italy:  Veneto",10,214.069889048163
"78","OM037671.1",0.00467137159946401,1.50138884095988e-05,"Orthoflavivirus nilense","Spain"," Lerida, Catalonia","Accipiter gentilis","2022-04-06T00:00:00Z",41.6147605,0.6267842,163,0.594563657896859,-1.1973876953125,45159.5,"Spain:  Lerida, Catalonia",2,214.069889048163
"79","OP734242.1",0.00469589922750672,0.00395489194424276,"Orthoflavivirus nilense","Italy"," Emilia Romagna","Athene noctua","2023-05-09T00:00:00Z",44.525696,11.039437,80091,0.594563657896859,21.4649037996585,37698.1401869159,"Italy:  Emilia Romagna",7,212.951758875573
"80","OP734243.1",0.00461559178539299,0.00021355608880354,"Orthoflavivirus nilense","Italy"," Emilia Romagna","Culex pipiens","2023-05-09T00:00:00Z",44.525696,11.039437,80091,0.594563657896859,21.4649037996585,37698.1401869159,"Italy:  Emilia Romagna",7,216.656941622244
"81","OM037670.1",0.00461559178539299,6.6969828505372e-05,"Orthoflavivirus nilense","Spain"," Lerida, Catalonia","Accipiter gentilis","2022-04-06T00:00:00Z",41.6147605,0.6267842,163,0.972369529605682,-1.1973876953125,45159.5,"Spain:  Lerida, Catalonia",2,216.656941622244
"82","OR091154.1",0.00453206701430168,0.00367436602693385,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,0.556903247175546,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,220.649870543471
"83","OP734238.1",0.00453206701430168,0.00367436602693385,"Orthoflavivirus nilense","Italy"," Emilia Romagna","Pica pica","2023-05-09T00:00:00Z",44.525696,11.039437,80091,1.28529455288616,21.4649037996585,37698.1401869159,"Italy:  Emilia Romagna",7,220.649870543471
"84","KF647248.1",0.0036698541535938,0.00374133585543922,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-12-08T00:00:00Z",45.07387,11.79109,37,1.28529455288616,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,272.490392845918
"85","KF647249.1",0.0036698541535938,0.00396990583265236,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-12-08T00:00:00Z",45.07387,11.79109,37,1.28529455288616,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,272.490392845918
"86","OK129335.1",0.00424435842385171,0.000343871746555687,"Orthoflavivirus nilense","Hungary"," Martfu","Homo sapiens","2022-11-01T00:00:00Z",47.0186153,20.2813933,197562,1.28529455288616,108.56309604866,34104.2323232323,"Hungary:  Martfu",1,235.606869198504
"87","KM203860.1",0.00424435842385171,2.6449902516431e-05,"Orthoflavivirus nilense","Czech Republic"," South Moravia, Novy fishpond at Mikulov","Culex modestus","2014-08-16T00:00:00Z",48.80556,16.6378,175,1.28529455288616,99.6861572265624,41893,"Czech Republic:  South Moravia, Novy fishpond at Mikulov",1,235.606869198504
"88","OK239664.1",0.00395550039614319,0.00406631436315443,"Orthoflavivirus nilense","Hungary"," Dunaujvaros","Homo sapiens","2022-09-17T00:00:00Z",46.9669545,18.9393976,167859,1.28529455288616,111.768118232099,35612.5351170569,"Hungary:  Dunaujvaros",2,252.812514182795
"89","KM203862.1",0.00395550039614319,5.48653476851058e-05,"Orthoflavivirus nilense","Czech Republic"," South Moravia, Mlynsky fishpond at Lednice","Culex modestus","2014-08-16T00:00:00Z",48.79992,16.80339,132,1.28529455288616,101.766581217448,42199,"Czech Republic:  South Moravia, Mlynsky fishpond at Lednice",2,252.812514182795
"90","MW751846.1",0.00489620832147825,3.54865903011772e-05,"Orthoflavivirus nilense","Serbia"," Subotica","Culex pipiens","2022-07-23T00:00:00Z",46.1002058,19.6653273,169664,1.28529455288616,100.432063798889,32848.3423728814,"Serbia:  Subotica",3,204.239675753437
"91","MH244511.1",0.00548111290544991,7.90303746018503e-05,"Orthoflavivirus nilense","Slovakia"," Velky Biel","Accipiter gentilis","2018-06-18T00:00:00Z",48.2160906,17.3570154,155590,1.28529455288616,118.581142289814,36758.1770491803,"Slovakia:  Velky Biel",3,182.444700054562
"92","KF823806.1",0.00451902808113076,0.0038969320505663,"Orthoflavivirus nilense","Italy"," Lombardia region, Mantova","Homo sapiens","2015-01-29T00:00:00Z",45.16031,10.79784,288,1.28529455288616,35.455322265625,45875,"Italy:  Lombardia region, Mantova",1,221.286520474504
"93","ON032494.1",0.00451902808113076,0.00321577360052166,"Orthoflavivirus nilense","Italy"," Sardegna region","Accipiter gentilis","2023-02-07T00:00:00Z",37.4036584,13.6151276,38806,1.31328725814819,31.9998024016273,33239.2372881356,"Italy:  Sardegna region",1,221.286520474504
"94","KF647250.1",0.00474083830529998,0.000681158450044634,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-12-08T00:00:00Z",45.07387,11.79109,37,1.31328725814819,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,210.93315899048
"95","ON032495.1",0.00474083830529998,0.000681158450044634,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Corvus cornix","2023-02-07T00:00:00Z",42.83333,12.83333,111328,1.20239400863648,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,210.93315899048
"96","OQ204314.1",0.00487652906119791,2.02241564532515e-05,"Orthoflavivirus nilense","Italy"," Tuscany","Culex pipiens","2023-06-13T00:00:00Z",43.4586541,11.1389204,71686,1.35060564676921,13.6826081072375,36058.2342857143,"Italy:  Tuscany",1,205.063886106392
"97","KF647252.1",0.00476838581989249,0.0039557382687149,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-12-08T00:00:00Z",45.07387,11.79109,37,1.35060564676921,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,209.71457381411
"98","MW751834.1",0.00328883021876494,0.000276983455665074,"Orthoflavivirus nilense","Serbia"," Temerin","Culex pipiens","2022-07-23T00:00:00Z",45.4096587,19.8901507,170035,1.35060564676921,98.2113625575822,30582.8184931507,"Serbia:  Temerin",1,304.059478137345
