AccessionNumber,Species,Geo_location,Collection_date,Host
ON813214.1,West Nile virus,Senegal: Barkedji region,2012,Culex neavei
ON813215.1,West Nile virus,Senegal: Barkedji region,2012,Culex perfuscus
ON813216.1,West Nile virus,Senegal: Barkedji region,2012,Culex quinquefasciatus
ON813217.1,West Nile virus,Senegal: Thille Boubacar region,2006,Culex antennatus
ON813218.1,West Nile virus,Senegal: Thille Boubacar region,2006,Culex antennatus
ON813219.1,West Nile virus,Senegal: Barkedji region,2006,Aedes vexans
ON813230.1,West Nile virus,Italy: Emilia-Romagna region,2021,Corvus cornix
ON813231.1,West Nile virus,Italy: Emilia-Romagna region,2021,Pica pica
ON813232.1,West Nile virus,Italy: Sardinia region,2021,Accipiter gentilis
ON813233.1,West Nile virus,Italy: Piemonte region,2022,Accipiter gentilis
OX451204.1,West Nile virus,Germany,2020-08-26,Phoenicopterus chilensis
OX442271.1,West Nile virus,Germany,2020-09,Phoenicopterus chilensis
OX442272.1,West Nile virus,Germany,2020-09-02,Equus caballus
OX442273.1,West Nile virus,Germany,2020-08,Parus major
OX442274.1,West Nile virus,Germany,2020-09,Phoenicopterus sp.
OX442275.1,West Nile virus,Germany,2020-07-12,Pyrrhocorax graculus
OX442276.1,West Nile virus,Germany,2020-08,Buteo
OX442277.1,West Nile virus,Germany,2020-09-02,Bubo scandiacus
OX442278.1,West Nile virus,Germany,2020-09,Serinus canaria
OX442279.1,West Nile virus,Germany,2020-07-30,Accipiter gentilis
OX442280.1,West Nile virus,Germany,2020-08,Phoenicopterus sp.
OX442281.1,West Nile virus,Germany,2020-09,Passer sp.
OX442282.1,West Nile virus,Germany,2020-08-22,Phoenicopterus ruber
OX442283.1,West Nile virus,Germany,2020-08,Cyanistes caeruleus
OX442284.1,West Nile virus,Germany,2020-07-12,Bubo scandiacus
OX442285.1,West Nile virus,Germany,2020-08-31,Accipiter gentilis
OX442286.1,West Nile virus,Germany,2020-08,
OX442287.1,West Nile virus,Germany,2020-08-18,Phoenicopterus sp.
OX442288.1,West Nile virus,Germany,2020,
OX442289.1,West Nile virus,Germany,2020-08-23,Accipiter gentilis
OX442290.1,West Nile virus,Germany,2020-09-21,Lathamus discolor
OX442291.1,West Nile virus,Germany,2020-09-02,Bubo scandiacus
OX442292.1,West Nile virus,Germany,2020-08,Accipiter gentilis
OX442293.1,West Nile virus,Germany,2020-08-25,Phoenicopterus chilensis
OX442294.1,West Nile virus,Germany,2020-08-14,Accipiter gentilis
OX442295.1,West Nile virus,Germany,2020-09,Athene noctua
OX442296.1,West Nile virus,Germany,2020-08,
OX442297.1,West Nile virus,Germany,2019,Mergus squamatus
OX442298.1,West Nile virus,Germany,2020-09,Accipiter gentilis
OX442299.1,West Nile virus,Germany,2020-08-11,Bombycilla garrulus
OX442300.1,West Nile virus,Germany,2020-08-09,Accipiter gentilis
OX442301.1,West Nile virus,Germany,2020-08,Garrulus glandarius
OX442302.1,West Nile virus,Germany,2020-09,Accipiter gentilis
OX442303.1,West Nile virus,Germany,2020-08,
OX442304.1,West Nile virus,Germany,2020-08-15,Bubo scandiacus
OX442305.1,West Nile virus,Germany,2020-08-01,Accipiter gentilis
OX442306.1,West Nile virus,Germany,2020-08-08,Accipiter gentilis
OX442307.1,West Nile virus,Germany,2020-08-13,Accipiter gentilis
OX442308.1,West Nile virus,Germany,2020-08-19,Phoenicopterus sp.
OX442309.1,West Nile virus,Germany,2020-08-18,Athene noctua
OX442310.1,West Nile virus,Germany,2018-09-11,Equus caballus
OX442311.1,West Nile virus,Germany,2020-08-18,Corvus cornix
OX442312.1,West Nile virus,Germany,2020-06-13,Accipiter gentilis
OX442313.1,West Nile virus,Germany,2020-09-29,Equus caballus
OX442347.1,West Nile virus,Germany,2020-07-07,Cyanistes caeruleus
OX442348.1,West Nile virus,Germany,2020-09,Accipiter gentilis
OP762592.1,West Nile virus,"Netherlands: Province of Utrecht, Haarzuilens",2020-09-15,
OP762593.1,West Nile virus,"Netherlands: Province of Utrecht, Haarzuilens",2020-09-15,Culex pipiens
OP762594.1,West Nile virus,"Netherlands: Province of Utrecht, Haarzuilens",2020-09-15,
OP762595.1,West Nile virus,"Netherlands: Province of Utrecht, Haarzuilens",2020-09-27,Phylloscopus collybita
OP762596.1,West Nile virus,"Netherlands: Province of Utrecht, Vleuten",2020-09-26,Passer domesticus
OP762597.1,West Nile virus,"Netherlands: Province of Utrecht, Vleuten",2020-10-18,Gallus gallus
ON782107.1,West Nile virus,"Brazil: Abaiara, Ceara",2019-01-10,Equus caballus
ON782108.1,West Nile virus,"Brazil: Itagiba, Bahia",2018-04-21,Equus caballus
ON782109.1,West Nile virus,"Brazil: Ipira, Bahia",2019-07-22,Equus caballus
ON032488.1,West Nile virus,Italy: Piemonte region,2020-09-07,Corvus cornix
ON032489.1,West Nile virus,Italy: Piemonte region,2020-09-01,Accipiter gentilis
ON032490.1,West Nile virus,Italy: Piemonte region,2021-08-19,Accipiter gentilis
ON032491.1,West Nile virus,Italy: Lombardi region,2021-08-18,Corvus cornix
ON032492.1,West Nile virus,Italy: Emilia-Romagna region,2021-08-26,Pica pica
ON032493.1,West Nile virus,Italy: Emilia-Romagna region,2021-08-29,Accipiter gentilis
ON032494.1,West Nile virus,Italy: Sardegna region,2021-08-10,Accipiter gentilis
ON032495.1,West Nile virus,Italy: Emilia-Romagna region,2021-09-16,Corvus cornix
ON032497.1,West Nile virus,Italy: Emilia-Romagna region,2021-08-03,Garrulus glandarius
ON032498.1,West Nile virus,Italy: Umbria region,2022-01-25,Accipiter gentilis
OQ053517.1,West Nile virus,Greece,2022-08-16,Culex pipiens
OQ053518.1,West Nile virus,Greece,2022-07-26,Culex pipiens
OQ053519.1,West Nile virus,Greece,2022-06-29,Culex pipiens
OQ053520.1,West Nile virus,Greece,2022-08-31,Culex pipiens
OQ053521.1,West Nile virus,Greece,2022-09-07,Culex pipiens
OQ053522.1,West Nile virus,Greece,2022-08-18,Culex pipiens
OQ053523.1,West Nile virus,Greece,2022-07-13,Culex pipiens
OQ053524.1,West Nile virus,Greece,2022-07-29,Culex pipiens
OQ053525.1,West Nile virus,Greece,2022-08-03,Culex pipiens
OQ053526.1,West Nile virus,Greece,2022-08-18,Culex pipiens
OQ053527.1,West Nile virus,Greece,2022-08-22,Culex pipiens
OQ053528.1,West Nile virus,Greece,2022-08-31,Culex pipiens
OQ053529.1,West Nile virus,Greece,2022-08-29,Culex pipiens
OQ053530.1,West Nile virus,Greece,2022-08-16,Culex pipiens
OQ053531.1,West Nile virus,Greece,2022-08-24,Culex pipiens
OQ053532.1,West Nile virus,Greece,2022-07-11,Culex pipiens
OQ053533.1,West Nile virus,Greece,2022-08-24,Culex pipiens
OQ053534.1,West Nile virus,Greece,2022-08-30,Culex pipiens
OQ053535.1,West Nile virus,Greece,2022-07-27,Culex pipiens
OQ053536.1,West Nile virus,Greece,2022-08-08,Culex pipiens
OQ053537.1,West Nile virus,Greece,2022-07-28,Culex pipiens
OQ053538.1,West Nile virus,Greece,2022-08-10,Culex pipiens
OQ053539.1,West Nile virus,Greece,2022-07-18,Culex pipiens
OP643863.1,West Nile virus,Spain,2020,Culex perexiguus
OP643864.1,West Nile virus,Spain,2021,Culex perexiguus
ON994909.1,West Nile virus,"USA: Lexington,MA",2019-09-06,Vicugna pacos
ON994910.1,West Nile virus,"USA: Brandford,CT",2021-09-19,Corvus
OP846978.1,West Nile virus,Senegal,2012,Culex neavei
OP846979.1,West Nile virus,Senegal,2013,Culex neavei
OP846980.1,West Nile virus,Senegal,2017,Culex neavei
OP846982.1,West Nile virus,Senegal,2016,Culex perfuscus
OL741623.1,West Nile virus,USA: Colorado,2018-08-26,Culex pipiens
OL840883.1,West Nile virus,Greece,2019-07,Culex pipiens
OL840884.1,West Nile virus,Greece,2019-07,Culex pipiens
OL840885.1,West Nile virus,Greece,2019-08,Culex pipiens
OL840886.1,West Nile virus,Greece,2020-08,Culex pipiens
OL840887.1,West Nile virus,Greece,2020-07,Culex pipiens
OL840888.1,West Nile virus,Greece,2020-07,Culex pipiens
OL840889.1,West Nile virus,Greece,2020-08,Culex pipiens
OL840890.1,West Nile virus,Greece,2020-08,Culex pipiens
OL840891.1,West Nile virus,Greece,2020-08,Culex pipiens
OL840892.1,West Nile virus,Greece,2020-08,Culex pipiens
OL840893.1,West Nile virus,Greece,2020-07,Culex pipiens
OL840894.1,West Nile virus,Greece,2021-08,Culex pipiens
OL840895.1,West Nile virus,Greece,2021-08,Culex pipiens
OL840896.1,West Nile virus,Greece,2021-08,Culex pipiens
OL840897.1,West Nile virus,Greece,2021-08,Culex pipiens
OL840898.1,West Nile virus,Greece,2021-08,Culex pipiens
OL840899.1,West Nile virus,Greece,2021-08,Culex pipiens
OP609799.1,West Nile virus,Italy,2022-07-01,Larus michahellis
OP609800.1,West Nile virus,Italy,2022-07-04,Passer domesticus
OP609801.1,West Nile virus,Italy,2022-07-08,Turdus merula
OP609802.1,West Nile virus,Italy,2022-07-12,Athene noctua
OP609803.1,West Nile virus,Italy,2022-07-14,Pica pica
OP609804.1,West Nile virus,Italy,2022-07-20,Garrulus glandarius
OP609805.1,West Nile virus,Italy,2022-07-20,Columba palumbus
OP609806.1,West Nile virus,Italy,2022-07-29,Egretta garzetta
OP609807.1,West Nile virus,Italy,2022-07-29,Pica pica
OP609808.1,West Nile virus,Italy,2022-07-29,Pica pica
OP609809.1,West Nile virus,Italy,2022-08-03,Corvus cornix
OP609810.1,West Nile virus,Italy,2022-08-04,Culex pipiens
OP609811.1,West Nile virus,Italy,2022-08-04,Equus caballus
OP609812.1,West Nile virus,Italy,2022-08-07,Corvus cornix
OP609813.1,West Nile virus,Italy,2022-08-09,Culex pipiens
OP609814.1,West Nile virus,Italy,2022-08-11,Culex pipiens
OP609815.1,West Nile virus,Italy,2022-08-17,Corvus cornix
ON755223.1,West Nile virus,Netherlands: Province of Utrecht,2020-10-18,Gallus gallus
MZ268007.1,West Nile virus,Netherlands,2020-09,Culex
OP009516.1,West Nile virus,Italy,2021,Culex pipiens
OP009517.1,West Nile virus,Italy,2021,Culex pipiens
OP009518.1,West Nile virus,Italy,2021,Columbidae
OP009519.1,West Nile virus,Italy,2021,Columbidae
OP009520.1,West Nile virus,Italy,2021,Streptopelia decaocto
OP009521.1,West Nile virus,Italy,2021-08-23,Culex pipiens
OP009522.1,West Nile virus,Italy,2021-08-16,Culex pipiens
OP009523.1,West Nile virus,Italy,2021-08-16,Culex pipiens
OP009524.1,West Nile virus,Italy,2021-08-16,Culex pipiens
OP009525.1,West Nile virus,Italy,2022-06-21,Culex pipiens
MW835351.1,West Nile virus,Italy,2008,Corvidae
MW835352.1,West Nile virus,Italy,2008,Equus asinus
MW835353.1,West Nile virus,Italy,2008,Equus caballus
MW835354.1,West Nile virus,Italy,2008,Equus caballus
MW835355.1,West Nile virus,Italy,2009,Corvidae
MW835356.1,West Nile virus,Italy,2011,Corvidae
MW835357.1,West Nile virus,Italy,2011,Strigidae
MW835358.1,West Nile virus,Italy,2011,Corvus corone
MW835359.1,West Nile virus,Italy,2011,Gallus gallus
MW835360.1,West Nile virus,Italy,2011,Garrulus glandarius
MW835361.1,West Nile virus,Italy,2011,Equus caballus
MW835362.1,West Nile virus,Italy,2011,Strigidae
MW835363.1,West Nile virus,Italy,2011,Gallus gallus
MW835364.1,West Nile virus,Italy,2012,Corvidae
MW862073.1,West Nile virus,Italy,2012,Accipiter gentilis
MW862074.1,West Nile virus,Italy,2013,Accipiter gentilis
MW862075.1,West Nile virus,Italy,2015,Corvidae
MW862076.1,West Nile virus,Italy,2015,Corvidae
MW862077.1,West Nile virus,Italy,2015,Corvidae
MW862078.1,West Nile virus,Italy,2015,Strigidae
MW862079.1,West Nile virus,Italy,2015,Culex pipiens
MW862080.1,West Nile virus,Italy,2015,Accipiter gentilis
MW862081.1,West Nile virus,Italy,2015,Corvus
MW862082.1,West Nile virus,Italy,2015,Corvus
MW862083.1,West Nile virus,Italy,2015,Accipiter gentilis
MW862084.1,West Nile virus,Italy,2015,Corvidae
MW862085.1,West Nile virus,Italy,2015,Corvidae
MW862086.1,West Nile virus,Italy,2016,Accipiter
MW862087.1,West Nile virus,Italy,2017,Corvidae
MW862088.1,West Nile virus,Italy,2017,Corvidae
MW862089.1,West Nile virus,Italy,2017,Corvus
MW862090.1,West Nile virus,Italy,2018,Apus apus
MW862091.1,West Nile virus,Italy,2018,Corvidae
MW862092.1,West Nile virus,Italy,2018,Hirundinidae
MW862093.1,West Nile virus,Italy,2018,Accipiter gentilis
MW862094.1,West Nile virus,Italy,2018,Curruca conspicillata
MW862095.1,West Nile virus,Italy,2018,Corvus cornix
MW862096.1,West Nile virus,Italy,2018,Accipiter gentilis
MW862097.1,West Nile virus,Italy,2018,Accipiter gentilis
MW862098.1,West Nile virus,Italy,2018,Corvus cornix
MW862099.1,West Nile virus,Italy,2018,Corvus cornix
MW862100.1,West Nile virus,Italy,2018,Corvus cornix
MW862101.1,West Nile virus,Italy,2018,Accipiter gentilis
MW862102.1,West Nile virus,Italy,2019,Corvidae
MW862103.1,West Nile virus,Italy,2019,Accipiter gentilis
MW862104.1,West Nile virus,Italy,2019,Strix aluco
MW862105.1,West Nile virus,Italy,2019,Corvus cornix
MW862106.1,West Nile virus,Italy,2019,Culex pipiens
MW862107.1,West Nile virus,Italy,2019,Corvus cornix
MW862108.1,West Nile virus,Italy,2020,Corvus cornix
MW751834.1,West Nile virus,Serbia: Temerin,2018-07-12,Culex pipiens
MW751835.1,West Nile virus,Serbia: Subotica,2018-08-28,Asio otus
MW751836.1,West Nile virus,Serbia: Mali Idjos,2015-08-10,Culex pipiens
MW751837.1,West Nile virus,Serbia: Curug,2018-06-25,Falco tinnunculus
MW751838.1,West Nile virus,Serbia: Belgrade,2018-10-16,Aves
MW751839.1,West Nile virus,Serbia: Novi Sad,2020-09-15,Culex pipiens
MW751840.1,West Nile virus,Serbia: Novi Sad,2020-09-15,Culex pipiens
MW751841.1,West Nile virus,Serbia: Novi Becej,2018-07-24,Culex pipiens
MW751842.1,West Nile virus,Serbia: Subotica,2018-07-12,Culex pipiens
MW751843.1,West Nile virus,Serbia: Karavukovo,2018-07-26,Culex pipiens
MW751844.1,West Nile virus,Serbia: Sombor,2018-07-12,Culex pipiens
MW751845.1,West Nile virus,Serbia: Opovo,2018-07-12,Culex pipiens
MW751846.1,West Nile virus,Serbia: Subotica,2018-07-12,Culex pipiens
MW420987.1,West Nile virus,Brazil: Piaui,2020-08-21,Equus caballus
MW420988.1,West Nile virus,Brazil: Sao Paulo,2019-07-30,Equus caballus
MW420989.1,West Nile virus,Brazil: Minas Gerais,2018-07-11,Equus caballus
OM037670.1,West Nile virus,"Spain: Lerida, Catalonia",2017-09,Accipiter gentilis
OM037671.1,West Nile virus,"Spain: Lerida, Catalonia",2020-09,Accipiter gentilis
OM037672.1,West Nile virus,"Spain: Tarragona, Catalonia",2020-09,Accipiter gentilis
OM037673.1,West Nile virus,"Spain: Tarragona, Catalonia",2020-09,Accipiter gentilis
OK631659.1,West Nile virus,"USA: Erie County, NY",2013-08-20,
OK631660.1,West Nile virus,"USA: Nassau County, NY",2015-09-15,
OK631661.1,West Nile virus,"USA: Erie County, NY",2016-09-07,
MW627239.1,West Nile virus,Italy: Campania region,2020-10-01,Accipiter gentilis
MN238669.1,West Nile virus,Iran,2017,Culex pipiens
MN238670.1,West Nile virus,Iran,2018,Culex theileri
MW915462.1,West Nile virus,"Spain: Manilva, Malaga",2017-09,Accipiter gentilis
LR989885.1,West Nile virus,Germany,2019,Larus crassirostris
LR989888.1,West Nile virus,Germany,2019,Larus crassirostris
LR989891.1,West Nile virus,Germany,2019,Mergus squamatus
LR989893.1,West Nile virus,Germany,2018,Bubo scandiacus
MW561633.1,West Nile virus,Slovakia,2018-11-16,Strix nebulosa lapponica
MW383507.1,West Nile virus,Namibia,2020,Culex univittatus
MW383508.1,West Nile virus,Namibia,2020,Culex univittatus
MT905060.1,West Nile virus,"Brazil: Espirito Santo state, Joao Neiva municipality",2019-06-13,Equus caballus
MK947396.1,West Nile virus,Slovenia,2018,Culicidae
MT863559.1,West Nile virus,France,2015-10-03,Equus caballus
MT863560.1,West Nile virus,France,2018-09-08,Buteo buteo
MT863561.1,West Nile virus,France,2018-10-06,Accipiter gentilis
MT967988.1,West Nile virus,USA,2013,Culicidae
MT967989.1,West Nile virus,USA,2013,Culicidae
MT967990.1,West Nile virus,USA,2015,Culicidae
MT967991.1,West Nile virus,USA,2015,Culicidae
MT967992.1,West Nile virus,USA,2014,Culicidae
MT967993.1,West Nile virus,USA,2017,Culicidae
MT967994.1,West Nile virus,USA,2015,Culicidae
MT967995.1,West Nile virus,USA,2018,Culicidae
MT967996.1,West Nile virus,USA,2017,Culicidae
MT967997.1,West Nile virus,USA,2014,Culicidae
MT967998.1,West Nile virus,USA,2014,Culicidae
MT967999.1,West Nile virus,USA,2017,Culicidae
MT968000.1,West Nile virus,USA,2015,Culicidae
MT968001.1,West Nile virus,USA,2013,Culicidae
MT968002.1,West Nile virus,USA,2018,Culicidae
MT968003.1,West Nile virus,USA,2013,Culicidae
MT968004.1,West Nile virus,USA,2014,Culicidae
MT968005.1,West Nile virus,USA,2016,Culicidae
MT968006.1,West Nile virus,USA,2017,Culicidae
MT968007.1,West Nile virus,USA,2018,Culicidae
MT968008.1,West Nile virus,USA,2017,Culicidae
MT968009.1,West Nile virus,USA,2018,Culicidae
MT968010.1,West Nile virus,USA,2018,Culicidae
MT968011.1,West Nile virus,USA,2018,Culicidae
MT968012.1,West Nile virus,USA,2016,Culicidae
MT968013.1,West Nile virus,USA,2015,Culicidae
MT968014.1,West Nile virus,USA,2018,Culicidae
MT968015.1,West Nile virus,USA,2018,Culicidae
MT968016.1,West Nile virus,USA,2018,Culicidae
MT968017.1,West Nile virus,USA,2016,Culicidae
MT968018.1,West Nile virus,USA,2013,Culicidae
MT968019.1,West Nile virus,USA,2018,Culicidae
MT968020.1,West Nile virus,USA,2013,Culicidae
MT968021.1,West Nile virus,USA,2013,Culicidae
MT968022.1,West Nile virus,USA,2018,Culicidae
MT968023.1,West Nile virus,USA,2016,Culicidae
MT968024.1,West Nile virus,USA,2017,Culicidae
MT968025.1,West Nile virus,USA,2017,Culicidae
MT968026.1,West Nile virus,USA,2018,Culicidae
MT968027.1,West Nile virus,USA,2016,Culicidae
MT968028.1,West Nile virus,USA,2018,Culicidae
MT968029.1,West Nile virus,USA,2018,Culicidae
MT968030.1,West Nile virus,USA,2018,Culicidae
MT968031.1,West Nile virus,USA,2016,Culicidae
MT968032.1,West Nile virus,USA,2017,Culicidae
MW036633.1,West Nile virus,Netherlands,2020-09,Culex
MW036634.1,West Nile virus,Netherlands,2020-08,Culex
MN812757.1,West Nile virus,Russia: Volgograd region,2018,Culex modestus
MN812758.1,West Nile virus,Russia: Volgograd region,2018,Culex modestus
MN619800.1,West Nile virus,Russia: Volgograd region,2018,Culex modestus
MN619801.1,West Nile virus,Russia: Volgograd region,2018,Culex pipiens
MN619802.1,West Nile virus,Russia: Volgograd region,2018,Culex pipiens
MN619803.1,West Nile virus,Russia: Volgograd region,2018,Culex pipiens
MN849176.1,West Nile virus,USA: Washington DC,2019-09,Aedes albopictus
LC489409.1,West Nile virus,Zambia,2019,Crocodylus niloticus
LR743421.1,West Nile virus,Germany,2019-08-30,Parus major
LR743422.1,West Nile virus,Germany,2019-08-26,Accipiter gentilis
LR743423.1,West Nile virus,Germany,2019-08-31,Accipiter gentilis
LR743424.1,West Nile virus,Germany,2019-08-04,Bubo scandiacus
LR743425.1,West Nile virus,Germany,2019-07-03,Bubo scandiacus
LR743426.1,West Nile virus,Germany,2019-08-31,Bubo scandiacus
LR743427.1,West Nile virus,Germany,2019-07-14,Accipiter gentilis
LR743428.1,West Nile virus,Germany,2019-08-18,Bubo scandiacus
LR743429.1,West Nile virus,Germany,2018-09-19,Strix aluco
LR743430.1,West Nile virus,Germany,2019-08-08,Cyanistes caeruleus
LR743431.1,West Nile virus,Germany,2019-09-04,Pluvialis apricaria
LR743432.1,West Nile virus,Germany,2019-08-30,Phoenicoparrus andinus
LR743433.1,West Nile virus,Germany,2018-09-01,Accipiter gentilis
LR743434.1,West Nile virus,Germany,2018-09-03,Strix nebulosa
LR743435.1,West Nile virus,Germany,2019-08-20,Accipiter gentilis
LR743436.1,West Nile virus,Germany,2018-09-10,Accipiter gentilis
LR743437.1,West Nile virus,Germany,2018-08-31,Strix nebulosa
LR743442.1,West Nile virus,Germany,2019-08-08,Cyanistes caeruleus
LR743443.1,West Nile virus,Germany,2018-09-05,Bubo scandiacus
LR743444.1,West Nile virus,Germany,2019-08-06,Strix nebulosa
LR743445.1,West Nile virus,Germany,2019-09-03,Strix nebulosa
LR743446.1,West Nile virus,Germany,2019-08-19,Trichoglossus haematodus
LR743447.1,West Nile virus,Germany,2019-09-24,Culex pipiens
LR743448.1,West Nile virus,Germany,2019-09-09,Spheniscus humboldti
LR743449.1,West Nile virus,Germany,2019-09-04,Accipiter gentilis
LR743450.1,West Nile virus,Germany,2019-09-09,Phoenicopterus chilensis
LR743451.1,West Nile virus,Germany,2019-09-04,Bubo scandiacus
LR743452.1,West Nile virus,Germany,2019-09-04,Strix nebulosa
LR743453.1,West Nile virus,Germany,2019-08-14,Equus ferus
LR743454.1,West Nile virus,Germany,2019-09-09,Parus major
LR743455.1,West Nile virus,Germany,2019-09-17,Culex pipiens
LR743456.1,West Nile virus,Germany,2019-08-26,Passer domesticus
LR743457.1,West Nile virus,Germany,2019-09-05,Accipiter gentilis
LR743458.1,West Nile virus,Germany,2019-09-03,Bubo scandiacus
MN794937.1,West Nile virus,Germany,2019,Turdus merula
MN794938.1,West Nile virus,Germany,2019,Passer domesticus
MN794939.1,West Nile virus,Germany,2019,Prunella modularis
MT341470.1,West Nile virus,Greece,2019-07,Culex
MT341471.1,West Nile virus,Greece,2019-07,Culex
MT341472.1,West Nile virus,Bulgaria,2018-08,Culex
MN149538.1,West Nile virus,Russia,2006-05,Acrocephalus dumetorum
MN954648.1,West Nile virus,Australia,2016,Crocodylus porosus
MK473443.1,West Nile virus,"Greece: Argolida, Peloponnesus",2017-07,Pica pica
MN652878.1,West Nile virus,Greece,2018-07,Culex
MN652879.1,West Nile virus,Greece,2018-07,Culex
MN652880.1,West Nile virus,Greece,2018-08,Culex
MH939153.1,West Nile virus,Romania,2014,Anopheles hyrcanus
MH939154.1,West Nile virus,Romania,2014,Culex pipiens sensu lato
MN480794.1,West Nile virus,Greece,2018-09,Culex
MN481589.1,West Nile virus,Greece,2018-07-17,Gallus gallus
MN481590.1,West Nile virus,Greece,2018-07-17,Equus caballus
MN481591.1,West Nile virus,Greece,2018-08-23,Canis lupus familiaris
MN481592.1,West Nile virus,Greece,2012-08-02,Culicidae
MN481593.1,West Nile virus,Greece,2012-08-22,Culicidae
MN481594.1,West Nile virus,Greece,2012-09-05,Culicidae
MN481595.1,West Nile virus,Greece,2010-09-30,Columbidae
MN481596.1,West Nile virus,Greece,2011-07-06,Gallus gallus
MN481597.1,West Nile virus,Greece,2012-08-27,Gallus gallus
MH819446.1,West Nile virus,Canada,2015-10-06,Culex
MH819447.1,West Nile virus,Canada,2013-08-26,Culex
MH819448.1,West Nile virus,Canada,2005-08-31,Culex
MH819449.1,West Nile virus,Canada,2014-09-22,Culex
MH819450.1,West Nile virus,Canada,2016-08-16,Culex
MH819451.1,West Nile virus,Canada,2005-08-12,Culex
MH819452.1,West Nile virus,Canada,2015-09-15,Culex
MH819453.1,West Nile virus,Canada,2016-08-09,Culex
MH819454.1,West Nile virus,Canada,2006-08-29,Culex
MH819455.1,West Nile virus,Canada,2006-08-30,Culex
MH819456.1,West Nile virus,Canada,2013-09-09,Culex
MH819457.1,West Nile virus,Canada,2005-08-19,Culex
MH819458.1,West Nile virus,Canada,2005-08-25,Culex
MH819459.1,West Nile virus,Canada,2014-09-04,Culex
MH819460.1,West Nile virus,Canada,2013-08-19,Culex
MH819462.1,West Nile virus,Canada,2015-09-09,Culex
